ticket_id,train_num,number_of_passenger,seat,email_id
1,1,2,3 SL & sno. 22 ,dcobby@amazon.co.uk
2,2,1,1 AC & sno. 19 & 20,acastaignet2@digg.com
3,3,2,2 AC & s no. 33 & 34,pbrockman4@princeton.edu
4,4,1," 3AC & sno. 19,20,21,22 ",easpin6@bing.com
5,5,2,1 AC & sno. 22,dcullivang@springer.com
6,6,2,3 SL& sno. 24,nreaveleya@abc.net.au 
7,7,1,2 AC & sno. 21,iarkcollm@answers.com
8,8,1,3 AC & sno.07,tblakero@telegraph.co.uk
9,9,2,2 AC & sno. 13,neburneq@imageshack.us
10,10,1,2SL & sno. 16,ksaintepauls@edublogs.org
